bin,n,p_mean,p_lo,p_hi,y_rate,model,method
0,395,0.0029238027054816484,0.0012165511725470424,0.0038177601527422667,0.0,TCSNet,raw
1,396,0.0044004484079778194,0.003818079363554716,0.004947633016854525,0.0,TCSNet,raw
2,396,0.005484443623572588,0.004950507543981075,0.006058559753000736,0.0,TCSNet,raw
3,396,0.006603685207664967,0.006062832195311785,0.007160631939768791,0.0025252525252525255,TCSNet,raw
4,396,0.007762409280985594,0.00716159213334322,0.008390850387513638,0.0,TCSNet,raw
5,396,0.009035752154886723,0.008397613652050495,0.009758379310369492,0.0025252525252525255,TCSNet,raw
6,396,0.010597319342195988,0.009777308441698551,0.01152932457625866,0.007575757575757576,TCSNet,raw
7,396,0.012497080489993095,0.011534802615642548,0.013461600989103317,0.010101010101010102,TCSNet,raw
8,396,0.014616316184401512,0.013462395407259464,0.015825988724827766,0.005050505050505051,TCSNet,raw
9,396,0.017261696979403496,0.01582977920770645,0.01887693628668785,0.007575757575757576,TCSNet,raw
10,396,0.020948300138115883,0.018877994269132614,0.0234940517693758,0.017676767676767676,TCSNet,raw
11,396,0.02681783400475979,0.02351178228855133,0.031181639060378075,0.015151515151515152,TCSNet,raw
12,396,0.03864526376128197,0.03119458258152008,0.05028117448091507,0.025252525252525252,TCSNet,raw
13,396,0.0767376646399498,0.05048779398202896,0.12550771236419678,0.09343434343434344,TCSNet,raw
14,396,0.3347361087799072,0.12561185657978058,0.8570041060447693,0.45454545454545453,TCSNet,raw
0,395,0.0007353911641985178,0.0002686380175873637,0.0010494098532944918,0.0,TCSNet,platt
1,396,0.001307439524680376,0.0010511624859645963,0.0015876168617978692,0.0,TCSNet,platt
2,396,0.0018394803628325462,0.0015883801970630884,0.002100940328091383,0.0,TCSNet,platt
3,396,0.0024163995403796434,0.0021020169369876385,0.0027171506080776453,0.005050505050505051,TCSNet,platt
4,396,0.0030358005315065384,0.0027186558581888676,0.0033964181784540415,0.0025252525252525255,TCSNet,platt
5,396,0.0038403933867812157,0.0033966251648962498,0.004295573104172945,0.005050505050505051,TCSNet,platt
6,396,0.004807224962860346,0.00429902458563447,0.00538556557148695,0.007575757575757576,TCSNet,platt
7,396,0.006109165493398905,0.005386492237448692,0.006782196462154388,0.007575757575757576,TCSNet,platt
8,396,0.007663661614060402,0.0067848931066691875,0.008650763891637325,0.005050505050505051,TCSNet,platt
9,396,0.009688022546470165,0.00865386612713337,0.010872108861804008,0.015151515151515152,TCSNet,platt
10,396,0.0126118129119277,0.01087446603924036,0.014796143397688866,0.005050505050505051,TCSNet,platt
11,396,0.01808217354118824,0.014822067692875862,0.02221565693616867,0.017676767676767676,TCSNet,platt
12,396,0.030278196558356285,0.02223224565386772,0.04271451383829117,0.030303030303030304,TCSNet,platt
13,396,0.07760622352361679,0.042797088623046875,0.15011920034885406,0.07828282828282829,TCSNet,platt
14,396,0.4632379114627838,0.15133370459079742,0.97437983751297,0.4621212121212121,TCSNet,platt
0,395,0.0,0.0,0.0,0.0,TCSNet,isotonic
1,396,0.0,0.0,0.0,0.0,TCSNet,isotonic
2,396,0.0,0.0,0.0,0.0025252525252525255,TCSNet,isotonic
3,396,8.981747669167817e-05,0.0,0.001367989112623036,0.0,TCSNet,isotonic
4,396,0.0015485008480027318,0.001367989112623036,0.0018214936135336757,0.0025252525252525255,TCSNet,isotonic
5,396,0.0022974747698754072,0.0018214936135336757,0.0027598896995186806,0.012626262626262626,TCSNet,isotonic
6,396,0.0037489149253815413,0.0027598896995186806,0.006535947788506746,0.010101010101010102,TCSNet,isotonic
7,396,0.007291851565241814,0.006535947788506746,0.007751937955617905,0.0025252525252525255,TCSNet,isotonic
8,396,0.008186162449419498,0.007751937955617905,0.008273009210824966,0.005050505050505051,TCSNet,isotonic
9,396,0.008356648497283459,0.008273009210824966,0.008433734998106956,0.0,TCSNet,isotonic
10,396,0.012792201712727547,0.008433734998106956,0.01718750037252903,0.03282828282828283,TCSNet,isotonic
11,396,0.01902315393090248,0.01718750037252903,0.02208835259079933,0.025252525252525252,TCSNet,isotonic
12,396,0.027559565380215645,0.02208835259079933,0.0422535203397274,0.007575757575757576,TCSNet,isotonic
13,396,0.09439030289649963,0.0422535203397274,0.15068493783473969,0.10353535353535354,TCSNet,isotonic
14,396,0.4626828134059906,0.15068493783473969,1.0,0.43686868686868685,TCSNet,isotonic
0,395,0.0008434969349764287,0.0003251422313041985,0.001169919385574758,0.0,TCSNet,temperature
1,396,0.0014421642990782857,0.0011714337160810828,0.0017132698558270931,0.0,TCSNet,temperature
2,396,0.0019759193528443575,0.0017167589394375682,0.002250175690278411,0.0025252525252525255,TCSNet,temperature
3,396,0.002534720581024885,0.00225105625577271,0.0028407415375113487,0.0,TCSNet,temperature
4,396,0.003165786387398839,0.0028410532977432013,0.0035157534293830395,0.0025252525252525255,TCSNet,temperature
5,396,0.0038973712362349033,0.003516082651913166,0.004295101389288902,0.0025252525252525255,TCSNet,temperature
