model,method,ECE,MCE,Brier,mean_p,prevalence
TCSNet,raw,0.014713053616130102,0.1198093457655473,0.02603112463377058,0.0392773263156414,0.04276814278498064
TCSNet,platt,0.0020224634566352023,0.007561307861422649,0.025423098111154997,0.04289105162024498,0.04276814278498064
TCSNet,isotonic,0.007850658130630668,0.02581412653730375,0.025502421005155467,0.043205101042985916,0.04276814278498064
TCSNet,temperature,0.010753428105704062,0.09771775356446855,0.025885220181964326,0.03346569091081619,0.04276814278498064
VIPEEGNet,raw,0.017284370138139795,0.06387750563597439,0.021524185465370486,0.05330023169517517,0.04276814278498064
VIPEEGNet,platt,0.0015365025933055077,0.006389505704958933,0.021086644857411248,0.042751699686050415,0.04276814278498064
VIPEEGNet,isotonic,0.002868002597358637,0.016277842449419433,0.021269178666707387,0.04281074181199074,0.04276814278498064
VIPEEGNet,temperature,0.001190415713809442,0.006495793592278856,0.02052238846260758,0.04309231415390968,0.04276814278498064
EffNetB0,raw,0.12306923811707118,0.47948638357297335,0.08382675007130097,0.18166495859622955,0.0585957231857215
EffNetB0,platt,0.016930522346440772,0.09698055278171192,0.04564107043987144,0.06305770576000214,0.0585957231857215
EffNetB0,isotonic,0.021423012069521352,0.09215833863826711,0.046416944994245604,0.0646982192993164,0.0585957231857215
EffNetB0,temperature,0.1275615850317672,0.31343439492312347,0.06827065540969757,0.18615728616714478,0.0585957231857215
