model,decile,n,max_p_mean,accuracy,gap
TCSNet,0,594,0.3421492576599121,0.3484848484848485,-0.006335590824936399
TCSNet,1,594,0.421034574508667,0.45791245791245794,-0.036877883403790945
TCSNet,2,594,0.47334545850753784,0.5454545454545454,-0.07210908694700757
TCSNet,3,594,0.5255662202835083,0.6363636363636364,-0.11079741608012805
TCSNet,4,594,0.581423282623291,0.6717171717171717,-0.0902938890938807
TCSNet,5,593,0.6429491639137268,0.7740303541315345,-0.13108119021780773
TCSNet,6,594,0.7084840536117554,0.8367003367003367,-0.12821628308858135
TCSNet,7,594,0.7770374417304993,0.8888888888888888,-0.11185144715838957
TCSNet,8,594,0.8451895713806152,0.9427609427609428,-0.09757137138032757
TCSNet,9,594,0.9186134338378906,0.9831649831649831,-0.0645515493270925
VIPEEGNet,0,594,0.367464154958725,0.4478114478114478,-0.08034729285272285
VIPEEGNet,1,594,0.45731720328330994,0.5606060606060606,-0.10328885732275062
VIPEEGNet,2,594,0.5099484324455261,0.6363636363636364,-0.12641520391811023
VIPEEGNet,3,594,0.562852680683136,0.6818181818181818,-0.11896550113504578
VIPEEGNet,4,594,0.6247339844703674,0.7895622895622896,-0.16482830509192214
VIPEEGNet,5,593,0.6945545077323914,0.8802698145025295,-0.18571530677013814
VIPEEGNet,6,594,0.7714192271232605,0.9175084175084175,-0.146089190385157
VIPEEGNet,7,594,0.8487978577613831,0.9545454545454546,-0.10574759678407153
VIPEEGNet,8,594,0.919000506401062,0.9932659932659933,-0.07426548686493128
VIPEEGNet,9,594,0.9731256365776062,0.9983164983164983,-0.025190861738892067
EffNetB0,0,594,0.36268454790115356,0.3484848484848485,0.014199699416305056
EffNetB0,1,594,0.4525635540485382,0.4090909090909091,0.04347264495762909
EffNetB0,2,594,0.5118741393089294,0.4797979797979798,0.032076159510949664
EffNetB0,3,594,0.5715047121047974,0.4713804713804714,0.10012424072432596
EffNetB0,4,594,0.6365319490432739,0.5740740740740741,0.062457874969199856
EffNetB0,5,593,0.7023187875747681,0.6205733558178752,0.08174543175689286
EffNetB0,6,594,0.7684915661811829,0.6919191919191919,0.07657237426199093
EffNetB0,7,594,0.8358989953994751,0.7424242424242424,0.09347475297523267
EffNetB0,8,594,0.9015147686004639,0.7727272727272727,0.12878749587319116
EffNetB0,9,594,0.9690266847610474,0.9175084175084175,0.05151826725262987
