model,target_recall,threshold,sensitivity,specificity,precision,NPV,F1,F2,Youden_J,NNR,TP,FP,FN,TN,FP_per_100_neg
EffNetB0,0.9,0.1312826573848724,0.9022988505747126,0.698265068860669,0.1569215392303848,0.9913661757237175,0.2673478075776926,0.4627173592690834,0.6005639194353816,6.372611464968152,314.0,1687.0,34.0,3904.0,30.17349311393311
EffNetB0,0.95,0.0722708106040954,0.9511494252873564,0.5952423537828653,0.1276021588280647,0.9949177877429,0.2250169952413324,0.4152032112393377,0.5463917790702215,7.836858006042295,331.0,2263.0,17.0,3328.0,40.475764621713466
EffNetB0,0.99,0.0353096388280391,0.9913793103448276,0.4637810767304596,0.1032007179180376,0.99884437596302,0.186941208344622,0.3643083421330517,0.4551603870752871,9.689855072463768,345.0,2998.0,3.0,2593.0,53.62189232695403
EffNetB0,1.0,0.009463457390666,1.0,0.2351994276515829,0.0752595155709342,1.0,0.1399839098954143,0.2892287234042553,0.2351994276515829,13.28735632183908,348.0,4276.0,0.0,1315.0,76.48005723484171
TCSNet,0.9,0.0204503983259201,0.9022988505747126,0.731532820604543,0.1730027548209366,0.9917555771096024,0.2903374942209893,0.4895541004053632,0.6338316711792555,5.780254777070064,314.0,1501.0,34.0,4090.0,26.8467179395457
TCSNet,0.95,0.0123185403645038,0.9511494252873564,0.5215524950813808,0.1101131071190951,0.9942038868053188,0.1973762671437089,0.3763074124602092,0.472701920368737,9.081570996978853,331.0,2675.0,17.0,2916.0,47.84475049186192
TCSNet,0.99,0.0057489620521664,0.9913793103448276,0.1942407440529422,0.0711340206185567,0.9972451790633609,0.1327433628318584,0.2763537327779557,0.1856200543977699,14.057971014492754,345.0,4505.0,3.0,1086.0,80.57592559470578
TCSNet,1.0,0.0032273326069116,1.0,0.0436415668037918,0.0611062335381914,1.0,0.1151745821611782,0.2455199661351771,0.0436415668037917,16.364942528735632,348.0,5347.0,0.0,244.0,95.63584331962082
VIPEEGNet,0.9,0.0458773486316204,0.9022988505747126,0.8397424432123055,0.2595041322314049,0.9928103193064072,0.4030808729139922,0.6033820138355112,0.7420412937870182,3.853503184713376,314.0,896.0,34.0,4695.0,16.025755678769453
VIPEEGNet,0.95,0.0185267198830842,0.9511494252873564,0.7104274727240207,0.1697435897435897,0.9957382802707444,0.2880765883376849,0.495212447636146,0.661576898011377,5.891238670694864,331.0,1619.0,17.0,3972.0,28.957252727597925
VIPEEGNet,0.99,0.0032557800877839,0.9913793103448276,0.3153282060454301,0.0826743350107836,0.9983012457531144,0.152621101526211,0.3099730458221024,0.3067075163902577,12.095652173913043,345.0,3828.0,3.0,1763.0,68.467179395457
VIPEEGNet,1.0,0.0013013838324695,1.0,0.1321767125737792,0.0669230769230769,1.0,0.1254506128334535,0.2639563106796116,0.1321767125737794,14.942528735632186,348.0,4852.0,0.0,739.0,86.78232874262207
