model,fold,n,n_pos,AUROC,AUPRC
EffNetB0,0,1296,101,0.9273292182774763,0.5604998058362414
EffNetB0,1,1219,45,0.9209161461290933,0.3654993384910148
EffNetB0,2,1144,69,0.9188540613414223,0.5159425245674362
EffNetB0,3,1189,42,0.8632042180429277,0.44363397160745377
EffNetB0,4,1091,91,0.9527912087912088,0.6747958370616084
TCSNet,0,1296,101,0.9175359376941878,0.6790459329074022
TCSNet,1,1219,45,0.9299072496687488,0.5445446432949095
TCSNet,2,1144,69,0.8959352881698686,0.4652703036428156
TCSNet,3,1189,42,0.9006102877070619,0.4291116633560307
TCSNet,4,1091,91,0.9293076923076923,0.6839318181728893
VIPEEGNet,0,1296,101,0.9646215667591864,0.7885848657866056
VIPEEGNet,1,1219,45,0.9574484194586409,0.5984441771859166
VIPEEGNet,2,1144,69,0.9286821705426357,0.6212761465884974
VIPEEGNet,3,1189,42,0.8885290820774693,0.45079138902200355
VIPEEGNet,4,1091,91,0.9570219780219781,0.723790875506
