model,fold,target_recall,threshold,sens_achieved,specificity,precision,FP,FN
EffNetB0,0,0.9,0.1213180348277092,0.900990099009901,0.8100418410041841,0.2861635220125786,227,10
EffNetB0,0,0.95,0.0933319553732872,0.9504950495049505,0.7389121338912134,0.23529411764705882,312,5
EffNetB0,0,0.99,0.0411661341786384,0.9900990099009901,0.4870292887029289,0.1402524544179523,613,1
EffNetB0,1,0.9,0.1821833699941635,0.9111111111111111,0.7989778534923339,0.148014440433213,236,4
EffNetB0,1,0.95,0.0962618514895439,0.9555555555555556,0.7018739352640545,0.10941475826972011,350,2
EffNetB0,1,0.99,0.0500261932611465,1.0,0.5996592844974447,0.08737864077669903,470,0
EffNetB0,2,0.9,0.0685241296887397,0.9130434782608695,0.7367441860465116,0.18208092485549132,283,6
EffNetB0,2,0.95,0.0407128743827343,0.9565217391304348,0.6716279069767442,0.1575178997613365,353,3
EffNetB0,2,0.99,0.009463457390666,1.0,0.4158139534883721,0.09899569583931134,628,0
EffNetB0,3,0.9,0.2344633340835571,0.9047619047619048,0.4969485614646905,0.061788617886178863,577,4
EffNetB0,3,0.95,0.0969317704439163,0.9523809523809523,0.31386224934612034,0.04836759371221282,787,2
EffNetB0,3,0.99,0.0371560901403427,1.0,0.1952920662598082,0.043523316062176166,923,0
EffNetB0,4,0.9,0.4343090653419494,0.9010989010989011,0.881,0.4079601990049751,119,9
EffNetB0,4,0.95,0.1992790102958679,0.9560439560439561,0.792,0.29491525423728815,208,4
EffNetB0,4,0.99,0.0519985146820545,1.0,0.592,0.18236472945891782,408,0
TCSNet,0,0.9,0.0152372745797038,0.900990099009901,0.7271966527196653,0.2182254196642686,326,10
TCSNet,0,0.95,0.0110166268423199,0.9504950495049505,0.596652719665272,0.16608996539792387,482,5
TCSNet,0,0.99,0.0057489620521664,0.9900990099009901,0.27531380753138074,0.10351966873706005,866,1
TCSNet,1,0.9,0.023651422932744,0.9111111111111111,0.7802385008517888,0.13712374581939799,258,4
TCSNet,1,0.95,0.0176043473184108,0.9555555555555556,0.6626916524701874,0.0979498861047836,396,2
TCSNet,1,0.99,0.0123232118785381,1.0,0.44207836456558774,0.06428571428571428,655,0
TCSNet,2,0.9,0.0219626780599355,0.9130434782608695,0.6948837209302325,0.16112531969309463,328,6
TCSNet,2,0.95,0.012304238975048,0.9565217391304348,0.4744186046511628,0.1045958795562599,565,3
TCSNet,2,0.99,0.0066958325915038,1.0,0.2055813953488372,0.07475622968580715,854,0
TCSNet,3,0.9,0.0171192716807127,0.9047619047619048,0.6748038360941587,0.09245742092457421,373,4
TCSNet,3,0.95,0.011412676423788,0.9523809523809523,0.5213600697471665,0.06791171477079797,549,2
TCSNet,3,0.99,0.0032273326069116,1.0,0.07933740191804708,0.03825136612021858,1056,0
TCSNet,4,0.9,0.0349184311926364,0.9010989010989011,0.818,0.3106060606060606,182,9
TCSNet,4,0.95,0.0148186413571238,0.9560439560439561,0.564,0.16634799235181644,436,4
TCSNet,4,0.99,0.0056551275774836,1.0,0.174,0.09923664122137404,826,0
VIPEEGNet,0,0.9,0.096438817679882,0.900990099009901,0.9338912133891213,0.5352941176470588,79,10
VIPEEGNet,0,0.95,0.0254821106791496,0.9504950495049505,0.803347280334728,0.29003021148036257,235,5
VIPEEGNet,0,0.99,0.0082057956606149,0.9900990099009901,0.5539748953974896,0.1579778830963665,533,1
VIPEEGNet,1,0.9,0.0516671128571033,0.9111111111111111,0.8679727427597955,0.20918367346938777,155,4
VIPEEGNet,1,0.95,0.0175592172890901,0.9555555555555556,0.7146507666098807,0.11375661375661375,335,2
VIPEEGNet,1,0.99,0.0160366278141737,1.0,0.7018739352640545,0.11392405063291139,350,0
VIPEEGNet,2,0.9,0.0388096086680889,0.9130434782608695,0.7934883720930233,0.22105263157894736,222,6
VIPEEGNet,2,0.95,0.0135369170457124,0.9565217391304348,0.6120930232558139,0.13664596273291926,417,3
VIPEEGNet,2,0.99,0.0013013838324695,1.0,0.13581395348837208,0.06913827655310621,929,0
VIPEEGNet,3,0.9,0.0185267198830842,0.9047619047619048,0.7349607672188317,0.1111111111111111,304,4
VIPEEGNet,3,0.95,0.0032557800877839,0.9523809523809523,0.3801220575414124,0.05326231691078562,711,2
VIPEEGNet,3,0.99,0.0018580376636236,1.0,0.2528334786399303,0.04671857619577308,857,0
VIPEEGNet,4,0.9,0.1062043011188507,0.9010989010989011,0.893,0.43386243386243384,107,9
VIPEEGNet,4,0.95,0.0418569594621658,0.9560439560439561,0.785,0.28807947019867547,215,4
VIPEEGNet,4,0.99,0.0114670330658555,1.0,0.576,0.1766990291262136,424,0
