model,fold,CE_hard,CE_soft,KL_pred_to_yt,KL_yt_to_pred,n
TCSNet,ALL,0.7967345714569092,1.0094263553619385,3.7919769287109375,0.3639656901359558,5939
TCSNet,0,0.82408207654953,1.0082870721817017,4.105103969573975,0.39668527245521545,1296
TCSNet,1,0.8381462097167969,1.0252985954284668,3.7900922298431396,0.36657240986824036,1219
TCSNet,2,0.8235488533973694,1.0325047969818115,3.716170310974121,0.3646374046802521,1144
TCSNet,3,0.7084379196166992,0.9678808450698853,3.4177680015563965,0.3266630470752716,1189
TCSNet,4,0.7860890626907349,1.0141228437423706,3.909430742263794,0.362134724855423,1091
VIPEEGNet,ALL,0.5899618864059448,0.8591703772544861,1.8796695470809937,0.2137097418308258,5939
VIPEEGNet,0,0.5677238702774048,0.8242607712745667,1.8830618858337402,0.2126588672399521,1296
VIPEEGNet,1,0.6105175614356995,0.8799694180488586,1.8907018899917603,0.2212432473897934,1219
VIPEEGNet,2,0.6313195824623108,0.8828842043876648,1.933131456375122,0.21501675248146057,1144
VIPEEGNet,3,0.5617288947105408,0.843559980392456,1.8703089952468872,0.2023421674966812,1189
VIPEEGNet,4,0.580813467502594,0.8695468902587891,1.8174549341201782,0.21755889058113098,1091
EffNetB0,ALL,1.0712205171585083,1.3218272924423218,5.177886009216309,0.6732113361358643,5939
EffNetB0,0,1.272387146949768,1.500248908996582,6.591612815856934,0.8856737017631531,1296
EffNetB0,1,0.9450450539588928,1.1979851722717285,3.5853078365325928,0.5325161218643188,1219
EffNetB0,2,0.961945652961731,1.1758334636688232,4.042873859405518,0.5074155330657959,1144
EffNetB0,3,1.245165228843689,1.526103138923645,7.793933868408203,0.8836294412612915,1189
EffNetB0,4,0.8982475996017456,1.1787127256393433,3.6170599460601807,0.5225602984428406,1091
