model,method,tau_mean,tau_sd,tau_min,tau_max,tau_ratio_max_min,tau_cv,tau_per_fold
TCSNet,raw,0.023463277546688928,0.01359019264816819,0.01226866571232677,0.04504504129290586,3.6715517684736887,0.5792111788783746,"0.01292,0.01927,0.02781,0.01227,0.04505"
TCSNet,platt,0.016429386143572644,0.014383397014760185,0.004367729788646103,0.040116757154464784,9.184807461933232,0.8754677070139427,"0.00437,0.01221,0.01888,0.00657,0.04012"
TCSNet,isotonic,0.013589546536095464,0.011876047564649765,0.0027598896995186806,0.032224130257964244,11.675876127797451,0.8739105115174784,"0.00276,0.01118,0.01719,0.00460,0.03222"
TCSNet,temperature,0.014492491278797398,0.007736939790769434,0.004923974443227053,0.026459743082523364,5.3736556490293825,0.5338585093432917,"0.00492,0.01393,0.01473,0.01242,0.02646"
VIPEEGNet,raw,0.09381609693169601,0.044420163222538764,0.028850034251809167,0.14457608237862613,5.011296732500754,0.4734812540206125,"0.12397,0.08041,0.09127,0.02885,0.14458"
VIPEEGNet,platt,0.0440278291981668,0.031668713221975765,0.006434461614117046,0.09225827530026463,14.338149923507556,0.7192885454205943,"0.05235,0.03115,0.03794,0.00643,0.09226"
VIPEEGNet,isotonic,0.040634766444563965,0.030901535871592094,0.002999999932944795,0.07692307978868484,25.641027169349726,0.7604703699663085,"0.07692,0.01754,0.04157,0.00300,0.06414"
VIPEEGNet,temperature,0.04730880683287986,0.027737450202804912,0.007598380651325006,0.08356463760137578,10.997690354826297,0.5863062727578081,"0.05672,0.03801,0.05065,0.00760,0.08356"
EffNetB0,raw,0.12187269859015956,0.08434093753647524,0.04394694641232493,0.26618355512619063,6.056929476482111,0.6920412734939245,"0.09333,0.10648,0.04395,0.09943,0.26618"
EffNetB0,platt,0.02710680583491924,0.01796815364412975,0.009859462454915051,0.055553119629621596,5.634497811990526,0.6628650293050392,"0.01419,0.02510,0.00986,0.03083,0.05555"
EffNetB0,isotonic,0.03389678537845616,0.020682452722549514,0.009731502272188665,0.06517809443175814,6.697639543077376,0.6101597095898863,"0.02218,0.03678,0.00973,0.03561,0.06518"
EffNetB0,temperature,0.16729359135031707,0.04083968963770783,0.11789134591817857,0.23004127293825158,1.9512990639525793,0.24411986919563747,"0.17470,0.16035,0.11789,0.15349,0.23004"
